atomic,title,comment
System.terminate_process,终止进程,终止指定 @{termination_type} 的进程，并保存执行结果至输出变量 @{termination_process}
System.screen_shot,屏幕截图,按 @{screen_type} 方式截图并保存到 @{png_path} ，输出图片保存路径 @{screenshot_path}
System.screen_lock,屏幕锁定,系统屏幕锁屏，并将操作结果输出至变量 @{screen_lock_result}
System.screen_unlock,屏幕解锁,通过用户名 @{user_name} 和 @{pwd_type} @{password_text||password_rsa} 进行系统屏幕解锁，并将操作结果输出至变量 @{screen_unlock_result}
System.printer,打印机打印,使用打印机 @{printer_name} 打印指定文件 @{file_path||folder_path} ，并保存执行结果至输出变量 @{printer_status}
VerifyCode.picture_code,通用数英验证码,识别浏览器中的验证码 @{picture_pick} ，返回识别结果 @{code_result}
VerifyCode.slider_code,通用滑块验证码,在背景图为 @{picture_pick} 的滑块验证码上，拖动滑块 @{slider_pick} 至指定位置，拖动距离为 @{drag_distance}
VerifyCode.click_code,通用点击验证码,在背景图为 @{picture_pick} 的点击验证码上，点击对应位置
CV.cv_click,点击图像,鼠标(@{btn_type})(@{btn_model})图像(@{input_data})(@{click_position})
CV.hover_image,鼠标悬浮在图像上,鼠标悬浮在图像(@{input_data})的(@{click_position})
CV.is_image_exist,IF图像存在,判断图像(@{input_data})在当前界面(@{exist_type})
CV.wait_image,等待图像,等待图像(@{input_data})(@{wait_type})
CV.image_input,图像输入框输入,拾取图像输入框(@{input_data})以(@{input_type})输入(@{input_content})
Window.exist,IF窗口存在,判断拾取窗口(@{pick})是否(@{check_type})，是就执行以下操作
Window.top,置顶窗口,置顶窗口对象(@{pick})
Window.close,关闭窗口,关闭桌面软件窗口对象(@{pick})
Window.set_size,调整窗口大小,调整拾取到的窗口(@{pick})大小，通过(@{size_type:自定义})的形式将窗口宽度和高度分别设置为(@{width}) (@{height})
WinEle.click_element,点击元素（桌面）,@{click_type} 拾取到的元素 @{pick} ，最长等待 @{wait_time} 秒直到此元素出现
WinEle.screenshot_element,元素截图（桌面）,截图拾取到的元素 @{pick} ，并保存至文件夹 @{file_path}
WinEle.hover_element,鼠标悬停元素（桌面）,鼠标悬停拾取到的元素 @{pick} ，并设置等待时间 @{wait_time} 秒
WinEle.input_text_element,填写输入框（桌面）,填写输入框 @{pick} ，并设置输入类型为 @{input_type} ，输入内容为 @{text}
WinEle.get_element_text,获取元素文本（桌面）,从元素 @{pick} 提取文本并保存到 @{ele_text}
WinEle.similar,获取相似元素列表（桌面）,获取拾取到的元素 @{pick} 相似的元素，并将相似元素数组输出至 @{get_similar_ele}
Docx.open_docx,打开Word,打开路径为 @{file_path} 的Word，返回Word对象 @{doc_obj}
Docx.read_docx,读取Word内容,读取Word对象 @{doc} 内容，返回文档内容 @{doc_data}
Docx.create_docx,创建Word,创建Word，保存到路径为 @{file_path} 的位置，文件名为 @{file_name} ，返回Word对象 @{doc_obj} 和保存路径 @{doc_create_path}
Docx.save_docx,保存Word,保存Word对象 @{doc} ，保存方式为 @{save_type}, 并输出保存路径 @{save_file_path}
Docx.close_docx,关闭Word,关闭Word对象 @{doc}
Docx.insert_docx,插入文本到Word,向Word对象 @{doc} 插入文本 @{text}
Docx.select_text,选择Word文本,从Word对象 @{doc} 中选择文本
Docx.get_cursor_position,定位Word光标,在Word对象 @{doc} 中定位光标位置
Docx.move_cursor,移动Word光标,在Word对象 @{doc} 中移动光标
Docx.insert_sep,Word插入页/段落,在Word对象 @{doc} 中插入页/段落
Docx.insert_hyperlink,Word插入超链接,在Word对象 @{doc} 中插入超链接
Docx.insert_img,Word插入图片,在Word对象 @{doc} 中，从路径 @{img_path} 或剪贴板插入图片
Docx.read_table,Word读取表格,在Word对象 @{doc} 中，读取表格内容并返回表格数据对象 @{table_content}
Docx.insert_table,Word插入表格,在Word对象 @{doc} 中，插入表格内容
Docx.delete,Word删除内容,在Word对象 @{doc} 中，删除内容
Docx.replace,Word替换内容,在Word对象 @{doc} 中，查找内容并替换
Docx.create_comment,Word创建批注,在Word对象 @{doc} 中，创建批注
Docx.delete_comment,Word删除批注,在Word对象 @{doc} 中，删除指定批注
Docx.convert_format,Word导出为PDF/TXT,在Word对象 @{doc} 中，导出指定内容为PDF或TXT文件
